Class,a3,a23,a35,a46_ ,a47_Blockwell say NOTSAFU
False,72.55,0.0,0.0,False,False
False,378238.12,23.0,0.0,False,False
False,4.57,0.0,0.0,False,False
False,241461.3,36.0,1e-06,False,False
False,322.95,0.0,0.0,False,False
False,567621.12,0.0,0.0,False,False
False,282.88,0.0,0.0,False,False
False,66.35,0.0,0.0,False,False
False,544371.0,56.0,0.0,False,False
False,178418.82,0.0,0.0,False,False
False,9658.23,0.0,0.0,False,False
False,214910.02,0.0,0.0,False,False
False,879972.9,0.0,0.0,False,False
False,22222.55,0.0,0.0,False,False
False,312.2,0.0,0.0,False,False
False,1701949.42,5.0,0.0,False,False
False,130896.27,0.0,0.0,False,False
False,6.27,0.0,0.0,False,False
False,75.27,0.0,0.0,False,False
False,74.05,0.0,0.0,False,False
False,322.42,0.0,0.0,False,False
False,327.7,0.0,0.0,False,False
False,1024014.5,54.0,0.0,False,False
False,323.28,0.0,0.0,False,False
False,935086.52,36.0,0.0,False,False
False,243277.05,0.0,0.0,False,False
False,487116.82,6.0,2.068291,False,False
False,331.53,0.0,0.0,False,False
False,70.3,0.0,0.0,False,False
False,24975.73,0.0,0.0,False,False
False,16.13,0.0,0.0,False,False
False,102.87,0.0,0.0,False,False
False,996297.48,76.0,0.0,False,False
False,5490.08,0.0,0.0,False,False
False,986319.8,263.0,0.0,False,False
False,56.48,0.0,0.0,False,False
False,320.9,0.0,0.0,False,False
False,58.22,0.0,0.0,False,False
False,36.37,0.0,0.0,False,False
False,1159108.58,0.0,0.0,False,False
False,302753.1,0.0,0.0,False,False
False,597.03,0.0,0.0,False,False
False,301156.08,0.0,0.0,False,False
False,537586.8,0.0,0.0,False,False
False,9.82,0.0,0.0,False,False
False,622.87,0.0,0.0,False,False
False,637545.9,146.0,0.0,False,False
False,3.85,0.0,0.0,False,False
False,3.9,0.0,0.0,False,False
False,76279.32,3.0,1e-06,False,False
False,314.18,0.0,0.0,False,False
False,7.97,0.0,0.0,False,False
False,59.72,0.0,0.0,False,False
False,96422.1,4.0,0.0,False,False
False,17067.9,0.0,0.0,False,False
False,1277262.62,0.0,0.0,False,False
False,331.1,0.0,0.0,False,False
False,69.43,0.0,0.0,False,False
False,222173.65,0.0,0.0,False,False
False,64.9,0.0,0.0,False,False
False,1016506.58,83.0,0.0,False,False
False,0.0,0.0,0.0,False,False
False,284661.02,17.0,0.0,False,False
False,10.78,0.0,0.0,False,False
False,325467.82,0.0,0.0,False,False
False,321.17,0.0,0.0,False,False
False,538242.08,0.0,0.0,False,False
False,5.95,0.0,0.0,False,False
False,310.38,0.0,0.0,False,False
False,179608.78,0.0,0.0,False,False
False,26200.27,0.0,0.0,False,False
False,66.43,0.0,0.0,False,False
False,557.25,0.0,0.0,False,False
False,21.3,0.0,0.0,False,False
False,329.33,0.0,0.0,False,False
False,1008740.77,0.0,0.0,False,False
False,210548.27,0.0,0.0,False,False
False,26275.75,0.0,0.0,False,False
False,278158.2,26.0,0.0,False,False
False,272185.17,0.0,0.0,False,False
False,1000993.2,48.0,0.0,False,False
False,37.67,0.0,0.0,False,False
False,13017.07,0.0,0.0,False,False
False,6.38,0.0,0.0,False,False
False,91725.52,2.0,0.0,False,False
False,114694.52,0.0,0.0,False,False
False,4.33,0.0,0.0,False,False
False,332.75,0.0,0.0,False,False
False,314.78,0.0,0.0,False,False
False,8.78,0.0,0.0,False,False
False,8.67,0.0,0.0,False,False
False,698587.03,12.0,0.0,False,False
False,1351649.42,44.0,0.0,False,False
False,9483.53,0.0,0.0,False,False
False,330.3,0.0,0.0,False,False
False,1002210.72,218.0,0.0,False,False
False,62.85,0.0,0.0,False,False
False,201118.35,0.0,0.0,False,False
False,1.35,0.0,0.0,False,False
False,318.32,0.0,0.0,False,False
False,648269.12,0.0,0.0,False,False
False,263.3,0.0,0.0,False,False
False,458881.72,10000.0,0.0,False,False
False,736045.88,30.0,0.0,False,False
False,24528.68,0.0,0.0,False,False
False,682665.12,2.0,544.538464,False,False
False,21.48,0.0,0.0,False,False
False,8.92,0.0,0.0,False,False
False,637517.8,203.0,0.0,False,False
False,64.67,0.0,0.0,False,False
False,325.48,0.0,0.0,False,False
False,397590.75,50.0,0.0,False,False
False,275.88,0.0,0.0,False,False
False,47.97,0.0,0.0,False,False
False,114389.77,0.0,0.0,False,False
False,2390.02,0.0,0.0,False,False
False,327.37,0.0,0.0,False,False
False,326.55,0.0,0.0,False,False
False,1014423.82,148.0,0.0,False,False
False,663453.2,0.0,0.0,False,False
False,16.32,0.0,0.0,False,False
False,69.65,0.0,0.0,False,False
False,93354.43,0.0,0.0,False,False
False,571698.55,0.0,0.0,False,False
False,371.03,0.0,0.0,False,False
False,181322.25,5.0,0.0,False,False
False,24.47,0.0,0.0,False,False
False,323.0,0.0,0.0,False,False
False,372.85,0.0,0.0,False,False
False,1085442.22,328.0,0.0,False,False
False,335.28,0.0,0.0,False,False
False,65.03,0.0,0.0,False,False
False,259626.3,0.0,0.0,False,False
False,1032644.65,59.0,0.0,False,False
False,11.13,0.0,0.0,False,False
False,435168.9,106.0,0.0,False,False
False,1031308.78,247.0,0.0,False,False
False,877359.32,25.0,0.0,False,False
False,352687.38,10000.0,0.0,False,False
False,321.03,0.0,0.0,False,False
False,1095412.27,11.0,0.0,False,False
False,483447.57,0.0,0.0,False,False
False,73.33,0.0,0.0,False,False
False,10.72,0.0,0.0,False,False
False,573503.95,71.0,0.0,False,False
False,141804.55,0.0,0.0,False,False
False,423768.32,17.0,0.0,False,False
False,1200023.08,97.0,0.0,False,False
False,309.0,0.0,0.0,False,False
False,234497.85,0.0,0.0,False,False
False,293981.1,13.0,0.0,False,False
False,2.32,0.0,0.0,False,False
False,292423.85,0.0,0.0,False,False
False,447.95,0.0,0.0,False,False
False,322.88,0.0,0.0,False,False
False,470838.37,0.0,0.0,False,False
False,44.27,0.0,0.0,False,False
False,377.35,0.0,0.0,False,False
False,0.68,0.0,0.0,False,False
False,985091.5,83.0,0.0,False,False
False,318.1,0.0,0.0,False,False
False,656836.7,58.0,0.0,False,False
False,322.48,0.0,0.0,False,False
False,68.23,0.0,0.0,False,False
False,2.65,0.0,0.0,False,False
False,88331.55,0.0,0.0,False,False
False,274286.03,9.0,0.0,False,False
False,66.42,0.0,0.0,False,False
False,14.32,0.0,0.0,False,False
False,320.58,0.0,0.0,False,False
False,15.73,0.0,0.0,False,False
False,23.88,0.0,0.0,False,False
False,5.7,0.0,0.0,False,False
False,329.92,0.0,0.0,False,False
False,526662.62,0.0,0.0,False,False
False,67.87,0.0,0.0,False,False
False,959797.43,80.0,0.0,False,False
False,1101503.13,112.0,0.0,False,False
False,68.25,0.0,0.0,False,False
False,331.93,0.0,0.0,False,False
False,326.58,0.0,0.0,False,False
False,34229.18,0.0,0.0,False,False
False,3531.85,0.0,0.0,False,False
False,151619.07,0.0,0.0,False,False
False,515353.27,39.0,0.0,False,False
False,443378.73,6.0,16.0,False,False
False,325.95,0.0,0.0,False,False
False,760003.8,13.0,0.0,False,False
False,105904.98,0.0,0.0,False,False
False,386916.25,0.0,0.0,False,False
False,2.35,0.0,0.0,False,False
False,318.42,0.0,0.0,False,False
False,7.88,0.0,0.0,False,False
False,113.65,0.0,0.0,False,False
False,549945.38,0.0,0.0,False,False
False,174019.13,0.0,0.0,False,False
False,855510.37,231.0,0.0,False,False
False,60455.67,0.0,0.0,False,False
